@relation R_data_frame

@attribute heat numeric
@attribute Attribute2 {nominal3,nominal4}
@attribute Attribute3 {nominal10,nominal11,nominal12,nominal13,nominal14,nominal15,nominal16,nominal17,nominal18,nominal19,nominal20,nominal5,nominal6,nominal7,nominal8,nominal9}
@attribute Attribute4 {nominal21,nominal22,nominal23,nominal24}
@attribute Attribute5 numeric
@attribute Attribute6 numeric
@attribute Attribute7 numeric
@attribute Attribute8 numeric
@attribute Attribute9 numeric
@attribute Attribute10 numeric
@attribute Attribute11 numeric
@attribute Attribute12 numeric

@data
0.18,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,100
0.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,100
1.28,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,100
1.89,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,100
2.55,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,100
3.25,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,100
3.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,100
4.77,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,100
5.61,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,100
6.48,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,100
7.39,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,100
8.35,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,100
9.33,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,100
10.38,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,100
11.46,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,100
12.59,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,100
13.75,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,100
14.96,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,100
16.22,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,100
17.5,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,100
18.85,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,100
20.22,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,100
21.65,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,100
23.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,100
24.63,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,100
1.75,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,1000
2.26,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,1000
2.83,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,1000
3.47,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,1000
4.16,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,1000
4.93,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,1000
5.75,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,1000
6.64,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,1000
7.6,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,1000
8.62,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,1000
9.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,1000
10.85,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,1000
12.07,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,1000
13.35,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,1000
14.7,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,1000
16.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,1000
17.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,1000
19.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,1000
20.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,1000
22.38,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,1000
24.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,1000
25.91,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,1000
27.77,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,1000
29.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,1000
31.68,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,1000
3.24,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,1500
3.79,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,1500
